Source,Target,Type,Id,Label,timeset,Weight
237760832,6490104,Undirected,71672,,,1
237760832,10873146,Undirected,71673,,,1
237760832,36102348,Undirected,71674,,,1
237760832,36756507,Undirected,71675,,,1
237760832,72958115,Undirected,71676,,,1
237760832,218711918,Undirected,71677,,,1
237760832,116582327,Undirected,71678,,,1
237760832,195488384,Undirected,71679,,,1
237760832,169422154,Undirected,71680,,,1
237760832,484388586,Undirected,71681,,,1
237760832,170628011,Undirected,71682,,,1
237760832,71883143,Undirected,71683,,,1
237760832,202349671,Undirected,71684,,,1
225023203,53093763,Undirected,71685,,,1
225023203,104467153,Undirected,71686,,,1
225023203,130229441,Undirected,71687,,,1
225023203,138226638,Undirected,71688,,,1
225023203,145979409,Undirected,71689,,,1
225023203,168203826,Undirected,71690,,,1
225023203,210386436,Undirected,71691,,,1
225023203,272217186,Undirected,71692,,,1
225023203,326193480,Undirected,71693,,,1
225023203,339992367,Undirected,71694,,,1
225023203,358001736,Undirected,71695,,,1
225023203,559363887,Undirected,71696,,,1
144779682,122770041,Undirected,71697,,,1
144779682,40362866,Undirected,71698,,,1
144779682,56906038,Undirected,71699,,,1
144779682,58199696,Undirected,71700,,,1
144779682,67863405,Undirected,71701,,,1
144779682,70075646,Undirected,71702,,,1
144779682,71883143,Undirected,71703,,,1
144779682,72958115,Undirected,71704,,,1
144779682,82210732,Undirected,71705,,,1
144779682,136208885,Undirected,71706,,,1
144779682,237339816,Undirected,71707,,,1
144779682,135161208,Undirected,71708,,,1
144779682,139118476,Undirected,71709,,,1
144779682,88567308,Undirected,71710,,,1
144779682,207080978,Undirected,71711,,,1
144779682,252875074,Undirected,71712,,,1
144779682,170628011,Undirected,71713,,,1
144779682,184710120,Undirected,71714,,,1
144779682,133913319,Undirected,71715,,,1
144779682,268352745,Undirected,71716,,,1
144779682,152362221,Undirected,71717,,,1
144779682,220200611,Undirected,71718,,,1
144779682,335195107,Undirected,71719,,,1
120695441,7212979,Undirected,71720,,,1
120695441,59818261,Undirected,71721,,,1
120695441,92060343,Undirected,71722,,,1
120695441,92782254,Undirected,71723,,,1
120695441,134863454,Undirected,71724,,,1
120695441,135446161,Undirected,71725,,,1
120695441,138226638,Undirected,71726,,,1
120695441,138669928,Undirected,71727,,,1
120695441,142632180,Undirected,71728,,,1
120695441,143058833,Undirected,71729,,,1
120695441,145993464,Undirected,71730,,,1
120695441,156790498,Undirected,71731,,,1
120695441,172208616,Undirected,71732,,,1
120695441,275146452,Undirected,71733,,,1
173760548,53093763,Undirected,71734,,,1
173760548,66953272,Undirected,71735,,,1
173760548,88620017,Undirected,71736,,,1
173760548,44784586,Undirected,71737,,,1
173760548,47862023,Undirected,71738,,,1
173760548,70075646,Undirected,71739,,,1
173760548,73260737,Undirected,71740,,,1
173760548,73272828,Undirected,71741,,,1
173760548,79619063,Undirected,71742,,,1
173760548,82210732,Undirected,71743,,,1
173760548,90432991,Undirected,71744,,,1
173760548,102318620,Undirected,71745,,,1
173760548,165470998,Undirected,71746,,,1
173760548,115951892,Undirected,71747,,,1
173760548,135892323,Undirected,71748,,,1
173760548,153204015,Undirected,71749,,,1
173760548,169891746,Undirected,71750,,,1
173760548,205445869,Undirected,71751,,,1
184710120,53093763,Undirected,71752,,,1
184710120,130229441,Undirected,71753,,,1
184710120,138226638,Undirected,71754,,,1
184710120,142632180,Undirected,71755,,,1
184710120,151978478,Undirected,71756,,,1
184710120,159945012,Undirected,71757,,,1
184710120,163730915,Undirected,71758,,,1
184710120,167028125,Undirected,71759,,,1
184710120,174582691,Undirected,71760,,,1
184710120,176018059,Undirected,71761,,,1
184710120,177974964,Undirected,71762,,,1
184710120,188988354,Undirected,71763,,,1
184710120,266927028,Undirected,71764,,,1
184710120,280525658,Undirected,71765,,,1
184710120,293400897,Undirected,71766,,,1
184710120,344955930,Undirected,71767,,,1
184710120,363112213,Undirected,71768,,,1
184710120,516746519,Undirected,71769,,,1
59818261,67404479,Undirected,71770,,,1
59818261,40362866,Undirected,71771,,,1
59818261,237339816,Undirected,71772,,,1
59818261,135161208,Undirected,71773,,,1
59818261,139118476,Undirected,71774,,,1
59818261,16132186,Undirected,71775,,,1
59818261,120179319,Undirected,71776,,,1
59818261,135834460,Undirected,71777,,,1
59818261,65875061,Undirected,71778,,,1
59818261,58199696,Undirected,71779,,,1
59818261,54251725,Undirected,71780,,,1
59818261,47862023,Undirected,71781,,,1
59818261,56906038,Undirected,71782,,,1
59818261,54588236,Undirected,71783,,,1
59818261,73815532,Undirected,71784,,,1
59818261,112752674,Undirected,71785,,,1
59818261,71883143,Undirected,71786,,,1
59818261,49887802,Undirected,71787,,,1
59818261,205445869,Undirected,71788,,,1
59818261,44784586,Undirected,71789,,,1
59818261,53607529,Undirected,71790,,,1
59818261,67452079,Undirected,71791,,,1
59818261,121715946,Undirected,71792,,,1
59818261,315719045,Undirected,71793,,,1
59818261,91115645,Undirected,71794,,,1
59818261,145993464,Undirected,71795,,,1
59818261,152288751,Undirected,71796,,,1
59818261,272217186,Undirected,71797,,,1
59818261,275146452,Undirected,71798,,,1
176018059,10873146,Undirected,71799,,,1
176018059,36102348,Undirected,71800,,,1
176018059,194331076,Undirected,71801,,,1
176018059,116582327,Undirected,71802,,,1
176018059,65875061,Undirected,71803,,,1
176018059,112463747,Undirected,71804,,,1
176018059,209041156,Undirected,71805,,,1
176018059,71883143,Undirected,71806,,,1
176018059,133913319,Undirected,71807,,,1
176018059,202349671,Undirected,71808,,,1
144027460,53093763,Undirected,71809,,,1
144027460,130229441,Undirected,71810,,,1
144027460,135193637,Undirected,71811,,,1
144027460,142632180,Undirected,71812,,,1
144027460,159945012,Undirected,71813,,,1
144027460,516746519,Undirected,71814,,,1
144027460,534882288,Undirected,71815,,,1
144027460,557164485,Undirected,71816,,,1
144027460,559363887,Undirected,71817,,,1
144027460,566157702,Undirected,71818,,,1
144027460,574579093,Undirected,71819,,,1
196166357,66953272,Undirected,71820,,,1
196166357,135193637,Undirected,71821,,,1
196166357,135446161,Undirected,71822,,,1
196166357,138226638,Undirected,71823,,,1
196166357,141670707,Undirected,71824,,,1
196166357,145379012,Undirected,71825,,,1
196166357,151886584,Undirected,71826,,,1
196166357,163730915,Undirected,71827,,,1
196166357,177016597,Undirected,71828,,,1
196166357,182793830,Undirected,71829,,,1
196166357,217092999,Undirected,71830,,,1
196166357,240804007,Undirected,71831,,,1
159945012,6490104,Undirected,71832,,,1
159945012,10873146,Undirected,71833,,,1
159945012,36102348,Undirected,71834,,,1
159945012,36756507,Undirected,71835,,,1
159945012,72958115,Undirected,71836,,,1
159945012,489373999,Undirected,71837,,,1
159945012,67404479,Undirected,71838,,,1
159945012,520864481,Undirected,71839,,,1
159945012,139118476,Undirected,71840,,,1
159945012,108180241,Undirected,71841,,,1
159945012,54588236,Undirected,71842,,,1
159945012,71883143,Undirected,71843,,,1
159945012,205445869,Undirected,71844,,,1
159945012,44784586,Undirected,71845,,,1
200208668,10447459,Undirected,71846,,,1
200208668,71883143,Undirected,71847,,,1
200208668,72958115,Undirected,71848,,,1
200208668,237339816,Undirected,71849,,,1
200208668,165479849,Undirected,71850,,,1
200208668,218711918,Undirected,71851,,,1
200208668,255355694,Undirected,71852,,,1
200208668,169422154,Undirected,71853,,,1
200208668,484388586,Undirected,71854,,,1
200208668,170628011,Undirected,71855,,,1
200208668,169891746,Undirected,71856,,,1
200208668,167894811,Undirected,71857,,,1
202349671,6490104,Undirected,71858,,,1
202349671,104467153,Undirected,71859,,,1
202349671,122770041,Undirected,71860,,,1
202349671,142632180,Undirected,71861,,,1
202349671,163730915,Undirected,71862,,,1
202349671,174093998,Undirected,71863,,,1
202349671,174582691,Undirected,71864,,,1
202349671,177974964,Undirected,71865,,,1
202349671,188988354,Undirected,71866,,,1
202349671,205335204,Undirected,71867,,,1
202349671,266927028,Undirected,71868,,,1
202349671,280525658,Undirected,71869,,,1
202349671,344955930,Undirected,71870,,,1
202349671,363112213,Undirected,71871,,,1
202349671,371326720,Undirected,71872,,,1
202349671,397653550,Undirected,71873,,,1
58199696,7212979,Undirected,71874,,,1
58199696,53093763,Undirected,71875,,,1
58199696,66953272,Undirected,71876,,,1
58199696,75635939,Undirected,71877,,,1
58199696,92060343,Undirected,71878,,,1
58199696,92782254,Undirected,71879,,,1
58199696,131355690,Undirected,71880,,,1
58199696,135446161,Undirected,71881,,,1
58199696,137948605,Undirected,71882,,,1
58199696,138669928,Undirected,71883,,,1
58199696,142632180,Undirected,71884,,,1
58199696,144031816,Undirected,71885,,,1
58199696,145379012,Undirected,71886,,,1
58199696,145979409,Undirected,71887,,,1
58199696,145993464,Undirected,71888,,,1
58199696,151978478,Undirected,71889,,,1
58199696,152288751,Undirected,71890,,,1
58199696,163730915,Undirected,71891,,,1
58199696,172208616,Undirected,71892,,,1
58199696,174085735,Undirected,71893,,,1
58199696,174093998,Undirected,71894,,,1
58199696,174582691,Undirected,71895,,,1
58199696,181629825,Undirected,71896,,,1
58199696,182793830,Undirected,71897,,,1
58199696,216421160,Undirected,71898,,,1
58199696,219127512,Undirected,71899,,,1
6490104,10447459,Undirected,71900,,,1
6490104,10873146,Undirected,71901,,,1
6490104,72958115,Undirected,71902,,,1
6490104,489373999,Undirected,71903,,,1
6490104,236922007,Undirected,71904,,,1
6490104,165479849,Undirected,71905,,,1
6490104,151725827,Undirected,71906,,,1
6490104,112463747,Undirected,71907,,,1
6490104,24547229,Undirected,71908,,,1
6490104,108180241,Undirected,71909,,,1
6490104,54588236,Undirected,71910,,,1
6490104,537728627,Undirected,71911,,,1
6490104,169891746,Undirected,71912,,,1
6490104,71883143,Undirected,71913,,,1
6490104,205445869,Undirected,71914,,,1
6490104,163420963,Undirected,71915,,,1
6490104,36756507,Undirected,71916,,,1
6490104,152362221,Undirected,71917,,,1
6490104,130229441,Undirected,71918,,,1
6490104,142632180,Undirected,71919,,,1
6490104,151886584,Undirected,71920,,,1
6490104,210386436,Undirected,71921,,,1
6490104,283089883,Undirected,71922,,,1
6490104,303095365,Undirected,71923,,,1
6490104,319865057,Undirected,71924,,,1
6490104,344955930,Undirected,71925,,,1
6490104,382528021,Undirected,71926,,,1
6490104,406955770,Undirected,71927,,,1
6490104,485624626,Undirected,71928,,,1
6490104,516746519,Undirected,71929,,,1
6490104,559363887,Undirected,71930,,,1
6490104,566157702,Undirected,71931,,,1
6490104,574579093,Undirected,71932,,,1
319865057,53093763,Undirected,71933,,,1
319865057,2455124,Undirected,71934,,,1
319865057,10447459,Undirected,71935,,,1
319865057,10663212,Undirected,71936,,,1
319865057,24547229,Undirected,71937,,,1
319865057,54588236,Undirected,71938,,,1
319865057,72958115,Undirected,71939,,,1
319865057,341065906,Undirected,71940,,,1
319865057,489373999,Undirected,71941,,,1
319865057,520864481,Undirected,71942,,,1
319865057,165470998,Undirected,71943,,,1
319865057,292259093,Undirected,71944,,,1
319865057,318186982,Undirected,71945,,,1
319865057,251586126,Undirected,71946,,,1
319865057,255355694,Undirected,71947,,,1
319865057,455388163,Undirected,71948,,,1
319865057,311807631,Undirected,71949,,,1
319865057,112463747,Undirected,71950,,,1
319865057,219738802,Undirected,71951,,,1
319865057,537728627,Undirected,71952,,,1
170628011,122770041,Undirected,71953,,,1
170628011,135193637,Undirected,71954,,,1
170628011,151886584,Undirected,71955,,,1
170628011,188988354,Undirected,71956,,,1
170628011,205335204,Undirected,71957,,,1
170628011,253298082,Undirected,71958,,,1
170628011,266927028,Undirected,71959,,,1
170628011,283089883,Undirected,71960,,,1
170628011,298711059,Undirected,71961,,,1
170628011,335195107,Undirected,71962,,,1
170628011,344955930,Undirected,71963,,,1
170628011,358001736,Undirected,71964,,,1
56906038,94716049,Undirected,71965,,,1
56906038,134863454,Undirected,71966,,,1
56906038,135446161,Undirected,71967,,,1
56906038,138226638,Undirected,71968,,,1
56906038,144031816,Undirected,71969,,,1
56906038,145979409,Undirected,71970,,,1
56906038,156790498,Undirected,71971,,,1
56906038,275146452,Undirected,71972,,,1
195488384,53093763,Undirected,71973,,,1
195488384,104467153,Undirected,71974,,,1
195488384,174093998,Undirected,71975,,,1
195488384,229471806,Undirected,71976,,,1
195488384,240804007,Undirected,71977,,,1
195488384,266927028,Undirected,71978,,,1
195488384,283089883,Undirected,71979,,,1
195488384,339992367,Undirected,71980,,,1
195488384,417693424,Undirected,71981,,,1
139223819,7212979,Undirected,71982,,,1
139223819,64849239,Undirected,71983,,,1
139223819,66953272,Undirected,71984,,,1
139223819,75635939,Undirected,71985,,,1
139223819,92060343,Undirected,71986,,,1
139223819,138226638,Undirected,71987,,,1
139223819,143058833,Undirected,71988,,,1
139223819,144031816,Undirected,71989,,,1
139223819,163730915,Undirected,71990,,,1
139223819,167028125,Undirected,71991,,,1
139223819,172208616,Undirected,71992,,,1
139223819,174085735,Undirected,71993,,,1
139223819,182793830,Undirected,71994,,,1
520864481,10873146,Undirected,71995,,,1
520864481,53093763,Undirected,71996,,,1
520864481,151978478,Undirected,71997,,,1
520864481,167537977,Undirected,71998,,,1
520864481,174093998,Undirected,71999,,,1
520864481,177974964,Undirected,72000,,,1
520864481,210386436,Undirected,72001,,,1
520864481,238984841,Undirected,72002,,,1
520864481,328558533,Undirected,72003,,,1
520864481,382528021,Undirected,72004,,,1
520864481,406955770,Undirected,72005,,,1
520864481,491562338,Undirected,72006,,,1
520864481,492304759,Undirected,72007,,,1
520864481,516746519,Undirected,72008,,,1
520864481,550387844,Undirected,72009,,,1
520864481,552532100,Undirected,72010,,,1
520864481,553990976,Undirected,72011,,,1
520864481,559363887,Undirected,72012,,,1
520864481,566157702,Undirected,72013,,,1
484388586,104467153,Undirected,72014,,,1
484388586,122770041,Undirected,72015,,,1
484388586,130229441,Undirected,72016,,,1
484388586,142632180,Undirected,72017,,,1
484388586,174093998,Undirected,72018,,,1
484388586,188988354,Undirected,72019,,,1
484388586,205335204,Undirected,72020,,,1
484388586,266927028,Undirected,72021,,,1
484388586,272217186,Undirected,72022,,,1
484388586,280525658,Undirected,72023,,,1
484388586,283089883,Undirected,72024,,,1
484388586,335195107,Undirected,72025,,,1
484388586,358001736,Undirected,72026,,,1
484388586,363112213,Undirected,72027,,,1
484388586,485624626,Undirected,72028,,,1
53093763,72958115,Undirected,72029,,,1
53093763,36102348,Undirected,72030,,,1
53093763,489373999,Undirected,72031,,,1
53093763,40362866,Undirected,72032,,,1
53093763,79619063,Undirected,72033,,,1
53093763,237339816,Undirected,72034,,,1
53093763,135161208,Undirected,72035,,,1
53093763,165479849,Undirected,72036,,,1
53093763,318186982,Undirected,72037,,,1
53093763,16132186,Undirected,72038,,,1
53093763,135892323,Undirected,72039,,,1
53093763,73272828,Undirected,72040,,,1
53093763,24547229,Undirected,72041,,,1
53093763,82210732,Undirected,72042,,,1
53093763,54251725,Undirected,72043,,,1
53093763,47862023,Undirected,72044,,,1
53093763,537728627,Undirected,72045,,,1
53093763,169891746,Undirected,72046,,,1
53093763,71883143,Undirected,72047,,,1
53093763,205445869,Undirected,72048,,,1
53093763,163420963,Undirected,72049,,,1
53093763,36756507,Undirected,72050,,,1
53093763,53607529,Undirected,72051,,,1
53093763,121715946,Undirected,72052,,,1
53093763,65109381,Undirected,72053,,,1
53093763,238435946,Undirected,72054,,,1
53093763,73260737,Undirected,72055,,,1
53093763,57843405,Undirected,72056,,,1
53093763,88620017,Undirected,72057,,,1
53093763,131355690,Undirected,72058,,,1
53093763,168203826,Undirected,72059,,,1
53093763,174582691,Undirected,72060,,,1
53093763,181629825,Undirected,72061,,,1
53093763,210386436,Undirected,72062,,,1
53093763,216421160,Undirected,72063,,,1
53093763,217092999,Undirected,72064,,,1
53093763,301336888,Undirected,72065,,,1
72958115,10873146,Undirected,72066,,,1
72958115,88620017,Undirected,72067,,,1
72958115,92060343,Undirected,72068,,,1
72958115,104467153,Undirected,72069,,,1
72958115,130229441,Undirected,72070,,,1
72958115,131355690,Undirected,72071,,,1
72958115,134863454,Undirected,72072,,,1
72958115,135446161,Undirected,72073,,,1
72958115,137948605,Undirected,72074,,,1
72958115,138226638,Undirected,72075,,,1
72958115,142632180,Undirected,72076,,,1
72958115,145379012,Undirected,72077,,,1
72958115,145979409,Undirected,72078,,,1
72958115,151886584,Undirected,72079,,,1
72958115,168203826,Undirected,72080,,,1
72958115,174093998,Undirected,72081,,,1
72958115,174582691,Undirected,72082,,,1
72958115,181629825,Undirected,72083,,,1
72958115,182793830,Undirected,72084,,,1
72958115,188988354,Undirected,72085,,,1
72958115,205335204,Undirected,72086,,,1
72958115,210386436,Undirected,72087,,,1
72958115,216421160,Undirected,72088,,,1
72958115,238984841,Undirected,72089,,,1
72958115,246481542,Undirected,72090,,,1
72958115,253298082,Undirected,72091,,,1
72958115,253897034,Undirected,72092,,,1
72958115,266927028,Undirected,72093,,,1
72958115,272217186,Undirected,72094,,,1
72958115,280525658,Undirected,72095,,,1
72958115,283089883,Undirected,72096,,,1
72958115,286118912,Undirected,72097,,,1
72958115,298711059,Undirected,72098,,,1
72958115,303095365,Undirected,72099,,,1
72958115,326169156,Undirected,72100,,,1
72958115,326193480,Undirected,72101,,,1
72958115,328558533,Undirected,72102,,,1
72958115,339992367,Undirected,72103,,,1
72958115,343179231,Undirected,72104,,,1
72958115,344955930,Undirected,72105,,,1
72958115,358001736,Undirected,72106,,,1
72958115,363112213,Undirected,72107,,,1
72958115,371326720,Undirected,72108,,,1
72958115,382528021,Undirected,72109,,,1
72958115,397653550,Undirected,72110,,,1
72958115,417693424,Undirected,72111,,,1
72958115,462671487,Undirected,72112,,,1
72958115,489091135,Undirected,72113,,,1
72958115,491562338,Undirected,72114,,,1
72958115,492304759,Undirected,72115,,,1
72958115,510526195,Undirected,72116,,,1
72958115,516746519,Undirected,72117,,,1
72958115,534882288,Undirected,72118,,,1
72958115,552532100,Undirected,72119,,,1
72958115,553990976,Undirected,72120,,,1
72958115,557164485,Undirected,72121,,,1
72958115,559363887,Undirected,72122,,,1
72958115,566157702,Undirected,72123,,,1
72958115,574579093,Undirected,72124,,,1
397653550,142632180,Undirected,72125,,,1
397653550,168203826,Undirected,72126,,,1
397653550,24547229,Undirected,72127,,,1
397653550,108180241,Undirected,72128,,,1
397653550,126692297,Undirected,72129,,,1
397653550,163420963,Undirected,72130,,,1
397653550,292259093,Undirected,72131,,,1
397653550,318186982,Undirected,72132,,,1
397653550,503138605,Undirected,72133,,,1
397653550,255355694,Undirected,72134,,,1
397653550,455388163,Undirected,72135,,,1
397653550,255085858,Undirected,72136,,,1
397653550,311807631,Undirected,72137,,,1
397653550,296333445,Undirected,72138,,,1
397653550,211194578,Undirected,72139,,,1
90432991,7212979,Undirected,72140,,,1
90432991,64849239,Undirected,72141,,,1
90432991,66953272,Undirected,72142,,,1
90432991,135193637,Undirected,72143,,,1
90432991,135446161,Undirected,72144,,,1
90432991,138226638,Undirected,72145,,,1
90432991,143058833,Undirected,72146,,,1
90432991,152288751,Undirected,72147,,,1
90432991,163730915,Undirected,72148,,,1
90432991,174085735,Undirected,72149,,,1
57843405,82605916,Undirected,72150,,,1
57843405,88620017,Undirected,72151,,,1
57843405,130229441,Undirected,72152,,,1
57843405,131355690,Undirected,72153,,,1
57843405,134863454,Undirected,72154,,,1
57843405,135373721,Undirected,72155,,,1
57843405,138226638,Undirected,72156,,,1
57843405,138669928,Undirected,72157,,,1
57843405,142632180,Undirected,72158,,,1
57843405,172208616,Undirected,72159,,,1
57843405,182793830,Undirected,72160,,,1
57843405,216421160,Undirected,72161,,,1
57843405,219127512,Undirected,72162,,,1
574579093,142632180,Undirected,72163,,,1
574579093,24547229,Undirected,72164,,,1
574579093,36756507,Undirected,72165,,,1
574579093,139133946,Undirected,72166,,,1
574579093,236922007,Undirected,72167,,,1
574579093,169422154,Undirected,72168,,,1
574579093,264670562,Undirected,72169,,,1
574579093,311807631,Undirected,72170,,,1
165470998,82605916,Undirected,72171,,,1
165470998,104467153,Undirected,72172,,,1
165470998,135193637,Undirected,72173,,,1
165470998,167537977,Undirected,72174,,,1
165470998,177974964,Undirected,72175,,,1
165470998,207614125,Undirected,72176,,,1
165470998,217092999,Undirected,72177,,,1
165470998,246134027,Undirected,72178,,,1
165470998,326193480,Undirected,72179,,,1
165470998,363112213,Undirected,72180,,,1
165470998,417693424,Undirected,72181,,,1
292259093,246134027,Undirected,72182,,,1
292259093,253897034,Undirected,72183,,,1
292259093,286118912,Undirected,72184,,,1
292259093,296561587,Undirected,72185,,,1
292259093,326169156,Undirected,72186,,,1
292259093,326193480,Undirected,72187,,,1
292259093,328558533,Undirected,72188,,,1
292259093,371326720,Undirected,72189,,,1
292259093,459013785,Undirected,72190,,,1
292259093,462671487,Undirected,72191,,,1
292259093,492304759,Undirected,72192,,,1
292259093,510526195,Undirected,72193,,,1
292259093,553990976,Undirected,72194,,,1
177016597,10447459,Undirected,72195,,,1
177016597,36756507,Undirected,72196,,,1
177016597,67863405,Undirected,72197,,,1
177016597,71883143,Undirected,72198,,,1
177016597,72511611,Undirected,72199,,,1
177016597,151725827,Undirected,72200,,,1
177016597,143468727,Undirected,72201,,,1
177016597,120179319,Undirected,72202,,,1
177016597,135892323,Undirected,72203,,,1
177016597,252875074,Undirected,72204,,,1
177016597,133913319,Undirected,72205,,,1
177016597,152362221,Undirected,72206,,,1
177016597,220200611,Undirected,72207,,,1
72511611,66953272,Undirected,72208,,,1
72511611,75635939,Undirected,72209,,,1
72511611,135446161,Undirected,72210,,,1
72511611,138226638,Undirected,72211,,,1
72511611,143058833,Undirected,72212,,,1
72511611,152288751,Undirected,72213,,,1
72511611,163730915,Undirected,72214,,,1
72511611,182793830,Undirected,72215,,,1
72511611,217092999,Undirected,72216,,,1
510526195,168203826,Undirected,72217,,,1
510526195,2455124,Undirected,72218,,,1
510526195,126692297,Undirected,72219,,,1
510526195,167894811,Undirected,72220,,,1
510526195,341065906,Undirected,72221,,,1
510526195,237339816,Undirected,72222,,,1
510526195,503138605,Undirected,72223,,,1
510526195,255355694,Undirected,72224,,,1
510526195,255085858,Undirected,72225,,,1
510526195,311807631,Undirected,72226,,,1
510526195,219738802,Undirected,72227,,,1
510526195,211194578,Undirected,72228,,,1
510526195,268352745,Undirected,72229,,,1
167537977,24547229,Undirected,72230,,,1
167537977,54588236,Undirected,72231,,,1
167537977,71883143,Undirected,72232,,,1
167537977,79619063,Undirected,72233,,,1
167537977,194331076,Undirected,72234,,,1
167537977,116582327,Undirected,72235,,,1
167537977,169422154,Undirected,72236,,,1
167537977,209041156,Undirected,72237,,,1
94716049,16132186,Undirected,72238,,,1
94716049,40362866,Undirected,72239,,,1
94716049,116582327,Undirected,72240,,,1
94716049,64073049,Undirected,72241,,,1
94716049,73815532,Undirected,72242,,,1
94716049,112752674,Undirected,72243,,,1
94716049,71883143,Undirected,72244,,,1
94716049,205445869,Undirected,72245,,,1
94716049,121715946,Undirected,72246,,,1
94716049,315719045,Undirected,72247,,,1
94716049,275146452,Undirected,72248,,,1
141670707,66953272,Undirected,72249,,,1
141670707,67863405,Undirected,72250,,,1
141670707,88567308,Undirected,72251,,,1
141670707,136208885,Undirected,72252,,,1
141670707,143468727,Undirected,72253,,,1
141670707,115951892,Undirected,72254,,,1
141670707,120179319,Undirected,72255,,,1
141670707,169891746,Undirected,72256,,,1
141670707,133913319,Undirected,72257,,,1
141670707,205445869,Undirected,72258,,,1
141670707,152362221,Undirected,72259,,,1
141670707,238435946,Undirected,72260,,,1
252875074,7212979,Undirected,72261,,,1
252875074,92060343,Undirected,72262,,,1
252875074,135446161,Undirected,72263,,,1
252875074,138226638,Undirected,72264,,,1
252875074,163730915,Undirected,72265,,,1
252875074,174582691,Undirected,72266,,,1
252875074,182793830,Undirected,72267,,,1
252875074,229471806,Undirected,72268,,,1
252875074,240804007,Undirected,72269,,,1
252875074,266927028,Undirected,72270,,,1
252875074,296561587,Undirected,72271,,,1
252875074,335195107,Undirected,72272,,,1
252875074,559363887,Undirected,72273,,,1
135193637,10447459,Undirected,72274,,,1
135193637,16132186,Undirected,72275,,,1
135193637,194331076,Undirected,72276,,,1
135193637,136208885,Undirected,72277,,,1
135193637,102318620,Undirected,72278,,,1
135193637,67863405,Undirected,72279,,,1
135193637,40362866,Undirected,72280,,,1
135193637,139133946,Undirected,72281,,,1
135193637,237339816,Undirected,72282,,,1
135193637,70075646,Undirected,72283,,,1
135193637,165479849,Undirected,72284,,,1
135193637,151725827,Undirected,72285,,,1
135193637,143468727,Undirected,72286,,,1
135193637,115951892,Undirected,72287,,,1
135193637,503138605,Undirected,72288,,,1
135193637,120179319,Undirected,72289,,,1
135193637,65875061,Undirected,72290,,,1
135193637,169422154,Undirected,72291,,,1
135193637,135892323,Undirected,72292,,,1
135193637,73272828,Undirected,72293,,,1
135193637,88567308,Undirected,72294,,,1
135193637,207080978,Undirected,72295,,,1
135193637,112463747,Undirected,72296,,,1
135193637,153204015,Undirected,72297,,,1
135193637,73815532,Undirected,72298,,,1
135193637,169891746,Undirected,72299,,,1
135193637,71883143,Undirected,72300,,,1
135193637,133913319,Undirected,72301,,,1
135193637,205445869,Undirected,72302,,,1
135193637,44784586,Undirected,72303,,,1
135193637,268352745,Undirected,72304,,,1
135193637,152362221,Undirected,72305,,,1
135193637,315719045,Undirected,72306,,,1
135193637,238435946,Undirected,72307,,,1
219127512,10447459,Undirected,72308,,,1
219127512,102318620,Undirected,72309,,,1
219127512,40362866,Undirected,72310,,,1
219127512,151725827,Undirected,72311,,,1
219127512,115951892,Undirected,72312,,,1
219127512,73272828,Undirected,72313,,,1
219127512,47862023,Undirected,72314,,,1
219127512,153204015,Undirected,72315,,,1
219127512,205445869,Undirected,72316,,,1
219127512,44784586,Undirected,72317,,,1
219127512,36756507,Undirected,72318,,,1
219127512,88096232,Undirected,72319,,,1
